iter	RMSE
0	187.7231429
1	180.1765297
2	172.9964582
3	166.2026657
4	159.851876
5	153.6907905
6	147.9259684
7	142.5174469
8	137.3142455
9	132.2218256
10	127.5796167
11	123.3184066
12	119.3215633
13	115.1272643
14	111.5236792
15	107.9853734
16	104.667404
17	101.439482
18	98.46417279
19	95.60862876
20	92.64853693
21	90.17894387
22	87.61154321
23	85.0885194
24	82.69960351
25	80.63531469
26	78.72003791
27	76.8380158
28	75.27012979
29	73.47930175
30	71.95257684
31	70.55651017
32	69.0479622
33	67.66891396
34	66.22071758
35	65.11751057
36	63.8383416
37	62.63215808
38	61.64581815
39	60.66808535
40	59.68710598
41	58.75226932
42	57.83800393
43	56.93547341
44	56.2862433
45	55.47342032
46	54.5912517
47	53.84699843
48	53.20113588
49	52.59001561
50	51.88115636
51	51.26474398
52	50.73201178
53	50.21966785
54	49.79088741
55	49.25317821
56	48.86813002
57	48.40325843
58	47.98233464
59	47.53632926
60	47.21317744
61	46.71627504
62	46.38485276
63	45.91949861
64	45.3363535
65	45.0297215
66	44.66005738
67	44.29801304
68	44.0438358
69	43.6518882
70	43.36597833
71	43.17813707
72	42.90351126
73	42.64589817
74	42.24454472
75	41.94351127
76	41.72533135
77	41.41740006
78	41.2365099
79	41.02212502
80	40.83365127
81	40.43584187
82	40.27050992
83	40.10868968
84	39.90492318
85	39.71502021
86	39.46182492
87	39.23968909
88	38.94051191
89	38.79791865
90	38.6583383
91	38.3908214
92	38.27554685
93	38.09315777
94	37.9626213
95	37.78775257
96	37.6343681
97	37.43641798
98	37.31643677
99	37.00276174
100	36.86569882
101	36.69942286
102	36.50050599
103	36.28496801
104	36.1806732
105	35.99487669
106	35.82115331
107	35.60472152
108	35.50218667
109	35.31178598
110	35.21737885
111	35.106837
112	34.91776641
113	34.8301082
114	34.68958814
115	34.57550429
116	34.44716796
117	34.32036155
118	34.15120129
119	34.0872501
120	34.02968919
121	33.92958268
122	33.74809725
123	33.61453624
124	33.41364062
125	33.32873658
126	33.25022307
127	33.1375516
128	33.08028963
129	33.00693362
130	32.82220243
131	32.60074478
132	32.51204517
133	32.4455554
134	32.31257495
135	32.15873816
136	31.935561
137	31.82759573
138	31.72858985
139	31.6556258
140	31.55226535
141	31.38105101
142	31.26540989
143	31.19293393
144	31.10971004
145	30.96807018
146	30.80780644
147	30.69400963
148	30.53568682
149	30.43685285
150	30.38218045
151	30.23201009
152	30.14207287
153	30.04459949
154	29.91889824
155	29.8210144
156	29.72940736
157	29.59657057
158	29.46057301
159	29.34788595
160	29.28814731
161	29.16009509
162	29.06477372
163	28.97145832
164	28.91064286
165	28.7587757
166	28.68877182
167	28.60880213
168	28.50171461
169	28.37525238
170	28.27692705
171	28.17377649
172	28.07282236
173	27.9799106
174	27.89661655
175	27.8311235
176	27.69582877
177	27.6151535
178	27.46294774
179	27.38634964
180	27.29246728
181	27.24057533
182	27.1743241
183	27.06683287
184	26.99188129
185	26.93083472
186	26.76727149
187	26.7168611
188	26.60864384
189	26.53000378
190	26.47202287
191	26.38341155
192	26.28703919
193	26.22443224
194	26.14538536
195	26.08546492
196	25.97783843
197	25.84738308
198	25.73336421
199	25.62879302
200	25.58254952
201	25.47550787
202	25.37627235
203	25.28997174
204	25.21887355
205	25.12175137
206	25.04821438
207	24.98994634
208	24.91570364
209	24.84457213
210	24.72498306
211	24.65789366
212	24.57142103
213	24.46267826
214	24.41146113
215	24.35870274
216	24.28154902
217	24.22544456
218	24.09775685
219	24.02114149
220	23.95763187
221	23.88750214
222	23.79049066
223	23.69379521
224	23.61474227
225	23.49837318
226	23.40766176
227	23.33994203
228	23.25558411
229	23.17976413
230	23.13482636
231	23.04100551
232	22.9608109
233	22.87158627
234	22.78667797
235	22.7167199
236	22.65842016
237	22.60073802
238	22.51667615
239	22.45666401
240	22.41479569
241	22.31566394
242	22.28193515
243	22.19409935
244	22.1034944
245	22.0482254
246	22.0137015
247	21.95348594
248	21.88781111
249	21.83160834
250	21.77573629
251	21.7122017
252	21.65885672
253	21.59420678
254	21.52498526
255	21.47643307
256	21.41906451
257	21.35135867
258	21.31991421
259	21.25095194
260	21.18417441
261	21.1247918
262	21.05422188
263	21.00082896
264	20.92170315
265	20.87874611
266	20.81166722
267	20.78499707
268	20.73007293
269	20.65655548
270	20.58745582
271	20.53812542
272	20.4675958
273	20.4248261
274	20.36748499
275	20.31070879
276	20.25114524
277	20.20952556
278	20.1829631
279	20.11462334
280	20.05361321
281	20.00253199
282	19.97199255
283	19.94381387
284	19.88787916
285	19.85393707
286	19.81785971
287	19.76710465
288	19.74115851
289	19.68142867
290	19.64313891
291	19.6283279
292	19.58454787
293	19.56472265
294	19.51017836
295	19.48740482
296	19.41950731
297	19.35243096
298	19.29935387
299	19.27364125
