frame,x_est,y_est,deviation_pixels
0.000000000000000000e+00,4.804363385636268617e+02,2.686624908940436285e+02,2.222861789725910420e+00
1.000000000000000000e+00,4.802302572284055486e+02,2.676135476806712745e+02,1.153872911356259801e+00
2.000000000000000000e+00,4.800478687040409227e+02,2.667537832272303149e+02,2.751658158521714248e-01
3.000000000000000000e+00,4.800291488781375620e+02,2.659391181344909114e+02,5.439651511171921250e-01
4.000000000000000000e+00,4.799293058008687467e+02,2.658245429990893172e+02,6.619118713388636444e-01
5.000000000000000000e+00,4.798457379005772623e+02,2.657406331223779148e+02,7.581251555879592319e-01
6.000000000000000000e+00,4.797782889956118879e+02,2.656802675202389423e+02,8.328394919554797937e-01
7.000000000000000000e+00,4.797213270395775453e+02,2.656449724045507423e+02,8.833201716748840804e-01
